"y","x","z"
51.6195626688267,14.5063773473261,NA
52.1399768366256,14.1998006552598,NA
51.9780151246786,14.2818557397798,NA
51.557566763291,14.3904830277335,NA
53.2355230824415,11.7068415602891,NA
53.1178554081397,11.6213810544307,NA
53.0808169423983,11.5579147692059,NA
52.5421463283152,12.2517600234512,NA
52.3611870722526,12.5792744251047,NA
52.2917008170346,12.502353133854,NA
52.1242856786948,12.6172117134348,NA
52.5148853611678,12.5193745876213,NA
52.5114022877862,12.3092270142379,NA
53.0874957335128,12.0601701356759,NA
52.9501518283069,12.1343830641968,NA
53.2057094946864,11.7634980332418,NA
52.9718627680898,11.8871254474973,NA
53.2219644969301,12.4570626064548,NA
53.1335028427908,12.3142815934396,NA
53.2348861319945,12.2454948879422,NA
52.7941950165475,12.4392205333922,NA
